id_atendimento;data_atendimento;hora_atendimento;cliente;telefone;cidade;uf;profissional;servico;categoria;valor;forma_pagamento;status;canal_agendamento
100001;2025-08-01;09:00;Débora Ribeiro;11980000318;São Caetano do Sul;SP;Camila Rodrigues;Hidratação;Cabelos;95.0;Cartão de crédito;Concluído;Presencial
100002;2025-08-01;09:00;Isabela Silva;11980000238;São Caetano do Sul;SP;Patrícia Alves;Manicure + Pedicure;Unhas;70.0;Cartão de débito;Concluído;WhatsApp
100003;2025-08-01;10:00;Elaine Santos;11980000231;São Bernardo do Campo;SP;Fernanda Costa;Manicure + Pedicure;Unhas;70.0;PIX;Concluído;Instagram
100004;2025-08-01;10:30;Juliana Mendes;11980000188;São Caetano do Sul;SP;Mariana Silva;Pedicure;Unhas;40.0;Dinheiro;Concluído;Telefone
100005;2025-08-01;10:30;Patrícia Souza;11980000306;São Paulo;SP;Bruna Oliveira;Design de sobrancelhas;Sobrancelhas;45.0;Dinheiro;Concluído;Telefone
100006;2025-08-01;11:30;Monique Almeida;11980000059;Santo André;SP;Renata Souza;Design de sobrancelhas;Sobrancelhas;40.5;PIX;Concluído;Presencial
100007;2025-08-01;11:30;Amanda Ribeiro;11980000012;Diadema;SP;Mariana Silva;Design + Henna;Sobrancelhas;0.0;Cartão de crédito;Cancelado;Instagram
100008;2025-08-01;13:00;Fernanda Martins;11980000200;Diadema;SP;Camila Rodrigues;Extensão de cílios;Cílios;180.0;PIX;Concluído;Instagram
100009;2025-08-01;14:00;Juliana Ribeiro;11980000282;Diadema;SP;Juliana Martins;Design de sobrancelhas;Sobrancelhas;45.0;Cartão de débito;Concluído;WhatsApp
100010;2025-08-01;14:30;Fernanda Almeida;11980000363;Diadema;SP;Renata Souza;Manutenção de alongamento;Unhas;100.0;PIX;Concluído;Presencial
100011;2025-08-01;14:30;Priscila Barbosa;11980000150;Santo André;SP;Camila Rodrigues;Manicure + Pedicure;Unhas;70.0;Dinheiro;Concluído;Presencial
100012;2025-08-01;14:30;Letícia Oliveira;11980000345;Mauá;SP;Larissa Santos;Manicure;Unhas;35.0;Cartão de crédito;Concluído;Presencial
100013;2025-08-01;15:00;Carla Santos;11980000060;São Paulo;SP;Patrícia Alves;Manicure + Pedicure;Unhas;70.0;Cartão de crédito;Concluído;Telefone
100014;2025-08-01;15:00;Tatiane Silva;11980000289;Santo André;SP;Bruna Oliveira;Spa dos pés;Estética;0.0;Dinheiro;Cancelado;WhatsApp
100015;2025-08-01;16:30;Rafaela Gomes;11980000356;Diadema;SP;Patrícia Alves;Esmaltação em gel;Unhas;80.0;Dinheiro;Concluído;Presencial
